,True
0110,True
00111100,True
000111111000,True
0000111111110000,True
00000111111111100000,True
000000111111111111000000,True
0000000111111111111110000000,True
00000000111111111111111100000000,True
000000000111111111111111111000000000,True
0000000000111111111111111111110000000000,True
00000000000111111111111111111111100000000000,True
000000000000111111111111111111111111000000000000,True
0000000000000111111111111111111111111110000000000000,True
00000000000000111111111111111111111111111100000000000000,True
000000000000000111111111111111111111111111111000000000000000,True
0000000000000000111111111111111111111111111111110000000000000000,True
00000000000000000111111111111111111111111111111111100000000000000000,True
000000000000000000111111111111111111111111111111111111000000000000000000,True
0000000000000000000111111111111111111111111111111111111110000000000000000000,True
00000000000000000000111111111111111111111111111111111111111100000000000000000000,True
1,False
01,False
011,False
0011,False
01101,False
010011,False
0111100,False
11101000,False
001101110,False
1110100001,False
01001111100,False
000100111011,False
1110111100000,False
10000110101101,False
110111100000101,False
1010001110110100,False
01000011101110101,False
100000001101101111,False
1001100110001110101,False
10110000010111110100,False
1,False
01,False
101,False
0011,False
00111,False
010101,False
0110101,False
10101100,False
101001011,False
0111101000,False
00101101101,False
001011100011,False
1111010001001,False
10111001100001,False
010010111111000,False
1111010100000110,False
00100111101100011,False
111000111100001001,False
1001101000111101001,False
00111101100100011001,False
1,False
01,False
101,False
0110,True
01011,False
011010,False
0101011,False
11000011,False
111100100,False
1001001011,False
11101000110,False
101101000011,False
1001101000111,False
01010011100101,False
001100011111010,False
0100011101110100,False
11001001110100110,False
110100110110000110,False
0101001110110100101,False
01011110001110001001,False
1,False
10,False
110,False
1001,False
11001,False
011010,False
0111100,False
00011110,False
110010011,False
0110111000,False
01100101011,False
010110001110,False
1000111001011,False
11111010001000,False
010010111101001,False
1001011001011100,False
01010011111001010,False
010010111010010011,False
1000101110001110110,False
10000111101100110100,False
1,False
10,False
110,False
1100,False
10011,False
001011,False
0101110,False
11000110,False
100110011,False
0100101011,False
11000101110,False
111101010000,False
0110011011010,False
01110101010010,False
011000010111011,False
1001001110100011,False
11010100011110100,False
111110010000100110,False
1100011100100001111,False
11010010101100010011,False
